question,answer,keywords,difficulty
"What is the time complexity of binary search?","Binary search has O(log n) time complexity because it halves the search space on each step.","binary search|time complexity","HARD"
"What data structure follows the LIFO principle?","A stack follows the Last In First Out principle.","stack|data structures","EASY"
"What data structure follows the FIFO principle?","A queue follows the First In First Out principle.","queue|data structures","EASY"
"What is the average time complexity of searching in a hash table?","The average time complexity is O(1).","hash table|time complexity","MEDIUM"
"What is a linked list?","A linked list is a linear data structure where elements are connected using pointers.","linked list|data structures","EASY"
"What is the worst-case time complexity of quicksort?","The worst-case time complexity of quicksort is O(n²).","quicksort|sorting","HARD"
"What is the average-case time complexity of quicksort?","The average-case time complexity of quicksort is O(n log n).","quicksort|sorting","MEDIUM"
"What is the time complexity of merge sort?","Merge sort has a time complexity of O(n log n) in all cases.","merge sort|sorting","MEDIUM"
"What is a binary tree?","A binary tree is a tree data structure where each node has at most two children.","binary tree|trees","EASY"
"What is a binary search tree?","A BST is a binary tree where the left subtree contains smaller values and the right subtree contains larger values.","bst|trees","MEDIUM"
"What is a graph?","A graph is a collection of vertices connected by edges.","graphs|data structures","EASY"
"What algorithm is used to find the shortest path in a weighted graph with non-negative weights?","Dijkstra's algorithm is commonly used.","dijkstra|graphs","HARD"
"What is dynamic programming?","Dynamic programming solves problems by storing solutions to overlapping subproblems.","dynamic programming|algorithms","HARD"
"What is memoization?","Memoization is an optimization technique that stores previously computed results.","memoization|dynamic programming","MEDIUM"
"What is recursion?","Recursion is a technique where a function calls itself.","recursion|programming","EASY"
"What is the base case in recursion?","The base case is the condition that stops recursive calls.","recursion|algorithms","EASY"
"What is Big O notation?","Big O notation describes the upper bound of an algorithm's growth rate.","big o|algorithms","MEDIUM"
"What is the space complexity of an algorithm?","Space complexity measures the amount of memory used by an algorithm.","space complexity|algorithms","MEDIUM"
"What is a heap?","A heap is a specialized tree-based data structure that satisfies the heap property.","heap|priority queue","MEDIUM"
"What is a min-heap?","A min-heap is a heap where the smallest element is at the root.","heap|data structures","MEDIUM"
"What is a max-heap?","A max-heap is a heap where the largest element is at the root.","heap|data structures","MEDIUM"
"What is breadth-first search?","BFS traverses a graph level by level using a queue.","bfs|graphs","MEDIUM"
"What is depth-first search?","DFS explores as far as possible along each branch before backtracking.","dfs|graphs","MEDIUM"
"What is a hash function?","A hash function maps input data to a fixed-size value.","hashing|algorithms","MEDIUM"
"What is a collision in hashing?","A collision occurs when two inputs produce the same hash value.","hashing|data structures","MEDIUM"
"What is normalization in databases?","Normalization organizes data to reduce redundancy and improve integrity.","databases|normalization","MEDIUM"
"What is a primary key?","A primary key uniquely identifies each record in a table.","databases|sql","EASY"
"What is a foreign key?","A foreign key establishes a relationship between two database tables.","databases|sql","EASY"
"What is SQL?","SQL is a language used to manage and query relational databases.","sql|databases","EASY"
"What does CRUD stand for?","Create, Read, Update, and Delete.","crud|databases","EASY"
"What is an index in a database?","An index improves query performance by providing faster data lookup.","database index|sql","MEDIUM"
"What is an operating system?","An operating system manages hardware and software resources.","operating systems|os","EASY"
"What is a process?","A process is an instance of a program in execution.","processes|operating systems","MEDIUM"
"What is a thread?","A thread is the smallest unit of execution within a process.","threads|operating systems","MEDIUM"
"What is deadlock?","Deadlock occurs when processes wait indefinitely for resources held by each other.","deadlock|operating systems","HARD"
"What is virtual memory?","Virtual memory allows a computer to use disk storage as an extension of RAM.","virtual memory|os","MEDIUM"
"What is a compiler?","A compiler translates source code into machine code.","compiler|programming languages","EASY"
"What is an interpreter?","An interpreter executes source code line by line.","interpreter|programming languages","EASY"
"What is polymorphism in object-oriented programming?","Polymorphism allows objects of different types to be treated through a common interface.","oop|polymorphism","MEDIUM"
"What is inheritance in object-oriented programming?","Inheritance allows a class to acquire properties and behaviors of another class.","oop|inheritance","EASY"
"What is encapsulation?","Encapsulation bundles data and methods together while restricting direct access.","oop|encapsulation","EASY"
"What is abstraction in object-oriented programming?","Abstraction hides implementation details and exposes only essential functionality.","oop|abstraction","MEDIUM"
"What is a REST API?","A REST API follows REST principles for communication between systems over HTTP.","rest api|web development","MEDIUM"
"What HTTP method is typically used to create a resource?","POST is typically used to create a resource.","http|rest api","EASY"
"What HTTP method is typically used to update a resource?","PUT or PATCH is typically used to update a resource.","http|rest api","EASY"
"What is authentication?","Authentication verifies the identity of a user or system.","authentication|security","MEDIUM"
"What is authorization?","Authorization determines what actions an authenticated user can perform.","authorization|security","MEDIUM"
"What is encryption?","Encryption converts data into a secure format that requires a key to decrypt.","encryption|security","MEDIUM"
"What is the difference between symmetric and asymmetric encryption?","Symmetric encryption uses one key while asymmetric encryption uses a public and private key pair.","encryption|cryptography","HARD"
"What is machine learning?","Machine learning is a field of AI where systems learn patterns from data.","machine learning|artificial intelligence","MEDIUM"
"What is overfitting in machine learning?","Overfitting occurs when a model learns training data too well and performs poorly on new data.","machine learning|overfitting","HARD"
